Area_sqft,Bedrooms,Bathrooms,Floors,Parking,Age,Location_Score,Distance_to_City_km,House_Price
1537,2,1,2,2,8,5.4,9.6,7099000
3266,4,4,2,2,4,7.0,29.4,13091000
1746,4,3,1,2,26,9.6,8.2,10735000
2252,4,3,2,1,8,4.7,3.0,11029000
958,3,3,1,1,14,7.8,5.2,7571000
1090,3,3,2,1,24,6.6,13.2,6084000
2173,3,3,1,2,26,4.9,9.8,8659000
1964,4,4,3,2,29,9.1,16.2,9268000
2344,4,4,2,3,34,6.8,20.7,8921000
1143,2,1,2,0,35,5.9,11.0,4879000
550,1,1,2,2,19,8.4,11.1,4871000
1448,2,2,3,0,32,4.2,27.1,3927000
550,1,1,2,1,28,3.7,1.2,3392000
2917,4,4,2,2,7,4.1,3.2,12945000
962,2,2,2,1,24,7.0,16.1,5008000
1178,2,1,1,1,3,6.1,24.2,4780000
2885,5,5,2,1,8,9.6,23.9,13390000
2610,5,5,1,3,15,4.9,12.6,11177000
1247,3,2,1,1,35,5.3,3.0,5730000
1959,3,3,2,1,9,8.9,16.3,9561000
774,2,2,1,0,6,6.1,16.6,4666000
1086,2,2,2,0,5,8.3,5.1,7456000
3094,4,4,1,2,30,4.3,10.1,11390000
1068,2,2,1,0,33,9.7,10.6,5794000
1951,4,4,2,2,33,7.1,1.2,9584000
1276,3,3,1,1,18,9.7,6.6,8726000
1851,3,3,2,3,26,3.8,4.6,8987000
2068,4,4,1,2,19,6.7,21.7,8757000
1914,4,4,3,1,11,4.7,20.0,7474000
1118,2,2,1,2,9,7.5,13.0,6942000
1343,3,3,2,0,33,5.4,11.0,5694000
1417,3,3,1,1,17,8.8,10.9,8063000
2384,3,3,3,2,7,8.9,12.1,11357000
1785,4,3,3,2,23,6.3,13.6,8965000
1711,4,3,1,2,2,8.4,18.5,9027000
2587,3,2,2,3,33,5.5,13.3,9590000
2834,4,4,2,2,2,6.4,10.1,12574000
3358,6,6,1,2,29,9.1,12.4,16391000
2518,4,3,2,2,20,4.8,10.0,11346000
1988,4,3,2,2,7,3.6,1.7,9571000
1304,2,2,2,1,17,4.4,10.4,5680000
1858,4,4,3,1,8,3.7,14.7,8513000
1730,4,3,1,3,25,4.6,4.3,8109000
2369,4,4,2,2,34,4.0,2.7,11014000
1334,2,1,2,0,29,5.5,4.6,5818000
550,1,1,2,1,25,4.7,15.1,2408000
1560,3,3,3,1,4,6.5,7.4,9588000
2380,3,3,1,3,6,5.6,22.5,9033000
919,3,3,2,1,15,7.0,18.8,5324000
1206,3,3,2,1,11,7.7,22.8,6964000
2556,4,3,3,2,35,4.1,6.3,10634000
1121,3,3,2,0,5,4.9,17.3,5834000
2506,3,2,2,3,34,5.3,6.3,9997000
2216,4,4,2,3,22,9.7,25.8,9682000
1406,3,2,2,0,23,9.2,12.3,7871000
550,1,1,1,1,27,7.9,4.8,4330000
2200,4,4,3,3,34,4.8,13.8,9410000
673,2,2,1,1,8,4.3,7.4,4400000
1900,4,4,3,2,5,4.4,16.8,8057000
2636,5,5,2,3,32,6.2,5.3,12666000
1270,2,1,2,0,31,8.8,12.7,6816000
1157,3,2,1,2,23,4.2,16.7,4226000
1965,3,3,2,3,33,4.0,14.3,7337000
796,1,1,2,0,21,6.9,14.0,4409000
1898,4,4,2,3,22,9.6,13.7,10151000
3285,6,6,2,1,30,7.1,15.5,13043000
1430,3,3,1,1,31,4.0,1.2,6715000
1789,4,4,2,1,7,7.3,15.7,10060000
1279,3,3,1,1,15,6.6,16.3,5799000
1699,3,3,2,3,26,8.4,14.5,8765000
2548,3,2,2,1,16,8.3,15.2,11525000
1407,2,2,3,2,16,4.4,15.5,6127000
1776,4,4,2,1,6,9.3,1.2,10721000
550,2,2,2,1,6,5.1,18.5,3233000
1485,2,2,2,1,11,5.5,12.9,6951000
2458,3,3,3,2,14,8.1,15.0,11585000
2021,3,2,2,1,7,4.0,6.6,8884000
1931,3,2,2,2,18,6.4,1.9,10708000
1487,3,3,2,1,10,8.4,11.6,8945000
550,2,2,1,2,4,6.6,27.0,3304000
1462,2,2,3,0,9,6.9,3.2,8940000
2401,4,3,1,1,4,7.1,16.7,10905000
2556,4,3,1,1,24,5.2,7.3,9632000
1152,3,3,2,2,4,6.9,8.2,8860000
1883,4,3,2,2,19,6.0,1.2,9238000
2526,4,3,3,2,12,4.6,16.7,10988000
2006,3,3,3,1,22,6.6,17.6,8406000
1915,3,3,2,3,24,3.9,13.8,7378000
1709,4,3,1,2,3,5.6,10.7,8471000
2075,4,4,2,2,4,3.7,21.9,8800000
2585,4,4,1,2,8,3.6,1.8,10867000
1976,3,3,1,1,7,6.6,9.1,9894000
1412,2,2,2,2,20,4.3,8.5,6069000
